,DATE,GDP_pct,CPI_pct,Country
0,1989-06-30,0.65,1.578,UK
1,1989-09-30,0.186,1.248,UK
2,1989-12-31,0.065,1.609,UK
3,1990-03-31,0.652,1.296,UK
4,1990-06-30,0.677,1.928,UK
5,1990-09-30,-1.123,2.19,UK
6,1990-12-31,-0.342,2.253,UK
7,1991-03-31,-0.423,1.975,UK
8,1991-06-30,-0.147,1.851,UK
9,1991-09-30,-0.146,1.728,UK
10,1991-12-31,0.054,1.528,UK
11,1992-03-31,-0.047,1.624,UK
12,1992-06-30,-0.176,1.263,UK
13,1992-09-30,0.309,0.916,UK
14,1992-12-31,0.628,0.905,UK
15,1993-03-31,0.444,0.797,UK
16,1993-06-30,0.299,0.651,UK
17,1993-09-30,0.931,0.682,UK
18,1993-12-31,0.609,0.463,UK
19,1994-03-31,0.859,0.539,UK
20,1994-06-30,1.047,0.67,UK
21,1994-09-30,0.977,0.582,UK
22,1994-12-31,0.407,0.519,UK
23,1995-03-31,0.358,0.607,UK
24,1995-06-30,0.146,0.747,UK
25,1995-09-30,1.111,0.658,UK
26,1995-12-31,0.185,0.797,UK
27,1996-03-31,0.738,0.722,UK
28,1996-06-30,0.24,0.671,UK
29,1996-09-30,0.871,0.778,UK
30,1996-12-31,1.34,0.8,UK
31,1997-03-31,1.785,0.676,UK
32,1997-06-30,1.099,0.652,UK
33,1997-09-30,0.794,0.572,UK
34,1997-12-31,1.582,0.589,UK
35,1998-03-31,0.578,0.416,UK
36,1998-06-30,0.621,0.528,UK
37,1998-09-30,0.104,0.409,UK
38,1998-12-31,0.567,0.432,UK
39,1999-03-31,0.72,0.556,UK
40,1999-06-30,0.574,0.365,UK
41,1999-09-30,1.617,0.607,UK
42,1999-12-31,1.388,0.272,UK
43,2000-03-31,1.17,0.153,UK
44,2000-06-30,0.552,0.365,UK
45,2000-09-30,0.528,0.378,UK
46,2000-12-31,0.554,0.41,UK
47,2001-03-31,1.006,0.386,UK
48,2001-06-30,0.434,0.446,UK
49,2001-09-30,0.324,0.357,UK
50,2001-12-31,0.332,0.356,UK
51,2002-03-31,0.261,0.354,UK
52,2002-06-30,0.432,0.421,UK
53,2002-09-30,0.761,0.308,UK
54,2002-12-31,0.903,0.315,UK
55,2003-03-31,0.793,0.341,UK
56,2003-06-30,0.816,0.364,UK
57,2003-09-30,0.869,0.292,UK
58,2003-12-31,0.833,0.241,UK
59,2004-03-31,0.498,0.347,UK
60,2004-06-30,0.552,0.347,UK
61,2004-09-30,0.381,0.272,UK
62,2004-12-31,0.389,0.326,UK
63,2005-03-31,0.58,0.47,UK
64,2005-06-30,0.881,0.327,UK
65,2005-09-30,0.936,0.454,UK
66,2005-12-31,0.893,0.474,UK
67,2006-03-31,0.6,0.5,UK
68,2006-06-30,0.436,0.626,UK
69,2006-09-30,0.235,0.767,UK
70,2006-12-31,0.536,0.754,UK
71,2007-03-31,1.054,0.677,UK
72,2007-06-30,0.696,0.642,UK
73,2007-09-30,0.856,0.396,UK
74,2007-12-31,0.338,0.568,UK
75,2008-03-31,0.582,0.59,UK
76,2008-06-30,-0.491,0.847,UK
77,2008-09-30,-1.53,1.023,UK
78,2008-12-31,-2.091,0.964,UK
79,2009-03-31,-2.199,0.87,UK
80,2009-06-30,-0.322,0.485,UK
81,2009-09-30,0.136,0.388,UK
82,2009-12-31,0.448,0.467,UK
83,2010-03-31,0.848,0.555,UK
84,2010-06-30,1.019,0.641,UK
85,2010-09-30,0.55,0.571,UK
86,2010-12-31,0.192,0.678,UK
87,2011-03-31,0.333,0.787,UK
88,2011-06-30,0.047,0.939,UK
89,2011-09-30,0.351,1.035,UK
90,2011-12-31,0.11,1.13,UK
91,2012-03-31,0.997,0.862,UK
