,DATE,GDP_pct,CPI_pct,Country
0,1989-06-30,0.6,1.419,UK
1,1989-09-30,0.2,1.372,UK
2,1989-12-31,0.0,1.396,UK
3,1990-03-31,0.5,1.491,UK
4,1990-06-30,0.7,1.943,UK
5,1990-09-30,-1.1,2.131,UK
6,1990-12-31,-0.5,2.225,UK
7,1991-03-31,-0.5,2.037,UK
8,1991-06-30,-0.1,1.872,UK
9,1991-09-30,-0.2,1.777,UK
10,1991-12-31,0.1,1.587,UK
11,1992-03-31,0.0,1.539,UK
12,1992-06-30,-0.2,1.227,UK
13,1992-09-30,0.5,0.985,UK
14,1992-12-31,0.8,0.815,UK
15,1993-03-31,0.5,0.766,UK
16,1993-06-30,0.4,0.57,UK
17,1993-09-30,0.9,0.619,UK
18,1993-12-31,0.7,0.546,UK
19,1994-03-31,1.0,0.595,UK
20,1994-06-30,0.9,0.595,UK
21,1994-09-30,1.0,0.521,UK
22,1994-12-31,0.4,0.521,UK
23,1995-03-31,0.5,0.595,UK
24,1995-06-30,0.2,0.619,UK
25,1995-09-30,1.1,0.717,UK
26,1995-12-31,0.3,0.742,UK
27,1996-03-31,0.7,0.742,UK
28,1996-06-30,0.3,0.693,UK
29,1996-09-30,0.9,0.668,UK
30,1996-12-31,1.4,0.717,UK
31,1997-03-31,1.6,0.595,UK
32,1997-06-30,1.1,0.521,UK
33,1997-09-30,0.9,0.57,UK
34,1997-12-31,1.5,0.521,UK
35,1998-03-31,0.7,0.447,UK
36,1998-06-30,0.6,0.496,UK
37,1998-09-30,0.3,0.422,UK
38,1998-12-31,0.7,0.422,UK
39,1999-03-31,0.7,0.496,UK
40,1999-06-30,0.5,0.447,UK
41,1999-09-30,1.6,0.398,UK
42,1999-12-31,1.4,0.373,UK
43,2000-03-31,1.2,0.274,UK
44,2000-06-30,0.7,0.249,UK
45,2000-09-30,0.6,0.299,UK
46,2000-12-31,0.6,0.348,UK
47,2001-03-31,0.9,0.323,UK
48,2001-06-30,0.4,0.447,UK
49,2001-09-30,0.5,0.447,UK
50,2001-12-31,0.3,0.348,UK
51,2002-03-31,0.3,0.422,UK
52,2002-06-30,0.5,0.323,UK
53,2002-09-30,0.7,0.323,UK
54,2002-12-31,0.8,0.398,UK
55,2003-03-31,0.7,0.373,UK
56,2003-06-30,0.9,0.323,UK
57,2003-09-30,0.9,0.348,UK
58,2003-12-31,0.8,0.323,UK
59,2004-03-31,0.4,0.323,UK
60,2004-06-30,0.6,0.323,UK
61,2004-09-30,0.4,0.323,UK
62,2004-12-31,0.5,0.373,UK
63,2005-03-31,0.7,0.447,UK
64,2005-06-30,0.8,0.472,UK
